id;text;category
swi036;Jak bardzo wierzysz w postęp jako siłę napędową ludzkości?;Światopoglądowe
swi037;Czy uważasz, że bogatsi powinni płacić wyższe podatki?;Światopoglądowe
swi038;Jak bardzo jesteś za ograniczeniem sztucznej inteligencji w codziennym życiu?;Światopoglądowe
swi039;Czy wierzysz, że każdy człowiek ma w sobie coś dobrego?;Światopoglądowe
swi040;Jak bardzo zgadzasz się z tym, że system edukacji wymaga gruntownej reformy?;Światopoglądowe
swi041;Czy uważasz, że tradycja powinna ustępować postępowi?;Światopoglądowe
swi042;Na ile ważna jest dla Ciebie wolność wyboru stylu życia?;Światopoglądowe
swi043;Czy zgadzasz się z tym, że każda religia powinna być traktowana równo?;Światopoglądowe
swi044;Jak bardzo wierzysz w to, że jednostka może zmieniać świat?;Światopoglądowe
swi045;Czy uważasz, że ludzie mają obowiązek pomagać obcym?;Światopoglądowe
swi046;Jak bardzo uważasz, że rozwój cywilizacji wpływa negatywnie na naturę?;Światopoglądowe
swi047;Czy uważasz, że każdy powinien mieć prawo do posiadania broni?;Światopoglądowe
swi048;Jak bardzo popierasz pomysł dochodu podstawowego dla każdego obywatela?;Światopoglądowe
swi049;Czy zgadzasz się z tym, że technologia zbliża ludzi?;Światopoglądowe
swi050;Jak bardzo wierzysz, że przyszłość będzie lepsza niż teraźniejszość?;Światopoglądowe
swi051;Czy uważasz, że młodzież powinna mieć większy wpływ na politykę?;Światopoglądowe
swi052;Jak bardzo cenisz sobie różnorodność kulturową w społeczeństwie?;Światopoglądowe
swi053;Czy zgadzasz się, że człowiek jest odpowiedzialny za los planety?;Światopoglądowe
swi054;Na ile wierzysz w karmę?;Światopoglądowe
swi055;Jak bardzo uważasz, że internet powinien być wolny i nieograniczony?;Światopoglądowe
swi056;Czy uważasz, że społeczeństwo powinno akceptować każdy styl życia?;Światopoglądowe
swi057;Jak bardzo popierasz równe prawa dla osób LGBTQ+?;Światopoglądowe
swi058;Czy uważasz, że bogactwo powinno być bardziej równomiernie rozdzielone?;Światopoglądowe
swi059;Na ile zgadzasz się z tym, że empatia jest podstawą człowieczeństwa?;Światopoglądowe
swi060;Czy uważasz, że demokracja to najlepszy system polityczny?;Światopoglądowe
swi061;Jak bardzo wierzysz, że każdy zasługuje na szacunek – niezależnie od poglądów?;Światopoglądowe
swi062;Czy uważasz, że społeczeństwo jest zbyt uzależnione od technologii?;Światopoglądowe
swi063;Na ile jesteś otwarty na inne religie i światopoglądy?;Światopoglądowe
swi064;Jak bardzo uważasz, że edukacja powinna uwzględniać naukę empatii?;Światopoglądowe
swi065;Czy zgadzasz się z tym, że każdy człowiek powinien służyć społeczeństwu w jakiś sposób?;Światopoglądowe
swi066;Jak bardzo wierzysz w równość wszystkich ludzi, bez względu na pochodzenie?;Światopoglądowe
swi067;Czy uważasz, że wolność jednostki powinna mieć swoje granice?;Światopoglądowe
swi068;Na ile zgadzasz się z tym, że młodzi ludzie są niedoceniani?;Światopoglądowe
swi069;Jak bardzo uważasz, że patriotyzm jest nadal ważny?;Światopoglądowe
swi070;Czy Twoim zdaniem społeczeństwo powinno być bardziej oparte na współpracy niż rywalizacji?;Światopoglądowe
swi071;Na ile wierzysz, że każdy ma wpływ na swoją przyszłość?;Światopoglądowe
swi072;Czy uważasz, że sztuka ma realny wpływ na zmianę społeczną?;Światopoglądowe
swi073;Jak bardzo cenisz sobie prawo do prywatności?;Światopoglądowe
swi074;Czy zgadzasz się z tym, że rozwój gospodarczy jest ważniejszy niż ochrona środowiska?;Światopoglądowe
swi075;Na ile uważasz, że edukacja powinna rozwijać kreatywność, a nie tylko wiedzę?;Światopoglądowe
swi076;Czy uważasz, że każdy człowiek powinien mieć dostęp do opieki zdrowotnej bez względu na zarobki?;Światopoglądowe
swi077;Jak bardzo zgadzasz się z tym, że ludzie powinni mieć prawo do eutanazji?;Światopoglądowe
swi078;Na ile uważasz, że człowiek powinien dążyć do samodoskonalenia?;Światopoglądowe
swi079;Czy Twoim zdaniem państwo powinno mieć większy wpływ na wychowanie dzieci?;Światopoglądowe
swi080;Jak bardzo zgadzasz się z tym, że język kształtuje sposób myślenia?;Światopoglądowe
swi081;Czy uważasz, że dostęp do internetu powinien być prawem człowieka?;Światopoglądowe
swi082;Na ile ważna jest dla Ciebie solidarność społeczna?;Światopoglądowe
swi083;Czy zgadzasz się z tym, że niektóre granice kulturowe powinny być respektowane?;Światopoglądowe
swi084;Jak bardzo wierzysz w to, że ludzie są z natury dobrzy?;Światopoglądowe
swi085;Czy uważasz, że historia powinna być nauczana w sposób bardziej krytyczny?;Światopoglądowe
swi086;Na ile uważasz, że media kształtują nasze poglądy?;Światopoglądowe
swi087;Czy zgadzasz się z tym, że praca powinna być gwarantowana przez państwo?;Światopoglądowe
swi088;Jak bardzo wierzysz, że demokracja wymaga aktywnego udziału obywateli?;Światopoglądowe
swi089;Czy uważasz, że młodzi ludzie powinni częściej angażować się społecznie?;Światopoglądowe
swi090;Na ile zgadzasz się z tym, że granice wolności kończą się tam, gdzie zaczyna się krzywda drugiego człowieka?;Światopoglądowe
zw001;Czy potrafisz zakochać się od pierwszego wejrzenia?;Związkowe
zw002;Czy często rozczulasz się nad romantycznymi filmami?;Związkowe
zw003;Czy potrafisz wybaczyć partnerowi dużą gafę?;Związkowe
zw004;Czy mówisz wprost, gdy coś Ci nie pasuje w relacji?;Związkowe
zw005;Czy łatwo przywiązujesz się do drugiej osoby?;Związkowe
zw006;Czy lubisz wspólne gotowanie jako forma spędzania czasu?;Związkowe
zw007;Czy potrafisz spać spokojnie po kłótni z bliską osobą?;Związkowe
zw008;Czy potrafisz przyznać się do błędu w relacji?;Związkowe
zw009;Czy zazdrość to dla Ciebie naturalny element związku?;Związkowe
zw010;Czy jesteś typem romantyka?;Związkowe
zw011;Czy czułość w relacji jest dla Ciebie ważniejsza niż rozmowa?;Związkowe
zw012;Czy pamiętasz ważne daty w związku?;Związkowe
zw013;Czy łatwo się obrażasz w relacjach?;Związkowe
zw014;Czy wolisz spędzać czas sam na sam niż w towarzystwie znajomych?;Związkowe
zw015;Czy potrafisz utrzymać relację na odległość?;Związkowe
zw016;Czy lubisz planować wspólną przyszłość?;Związkowe
zw017;Czy ważne jest dla Ciebie poczucie humoru w związku?;Związkowe
zw018;Czy zdarza Ci się mówić coś, czego później żałujesz?;Związkowe
zw019;Czy potrafisz rozpoznać emocje drugiej osoby bez słów?;Związkowe
zw020;Czy lubisz robić niespodzianki partnerowi?;Związkowe
zw021;Czy dla Ciebie ważniejsze są czyny niż słowa?;Związkowe
zw022;Czy umiesz zostawić partnerowi przestrzeń dla siebie?;Związkowe
zw023;Czy łatwo przyjmujesz krytykę od bliskiej osoby?;Związkowe
zw024;Czy lubisz wspólne zdjęcia i pamiątki?;Związkowe
zw025;Czy konflikty rozładowujesz żartem?;Związkowe
zw026;Czy potrafisz uszczęśliwić drugą osobę drobiazgiem?;Związkowe
zw027;Czy często wyrażasz uczucia słowami?;Związkowe
zw028;Czy jesteś gotów pójść na kompromis?;Związkowe
zw029;Czy potrafisz rozmawiać o trudnych tematach bez emocji?;Związkowe
zw030;Czy czujesz się bezpiecznie, będąc sobą przy partnerze?;Związkowe
zw031;Czy często potrzebujesz zapewnień o uczuciach?;Związkowe
zw033;Czy potrafisz mówić o swoich potrzebach bez poczucia winy?;Związkowe
zw037;Czy drobne nawyki partnera potrafią Cię irytować?;Związkowe
zw038;Czy czujesz się doceniany w relacji?;Związkowe
zw039;Czy lubisz dzielić się codziennymi szczegółami ze swoim partnerem?;Związkowe
zw040;Czy Twoim zdaniem w relacji powinno się mówić wszystko?;Związkowe
zw041;Czy ufasz swojej intuicji w relacjach?;Związkowe
zw042;Czy potrafisz powiedzieć „nie” bliskiej osobie bez wyrzutów sumienia?;Związkowe
zw043;Czy czujesz się komfortowo pokazując swoje słabości w związku?;Związkowe
zw047;Czy wspólne marzenia cementują dla Ciebie relację?;Związkowe
zw048;Czy czujesz się wysłuchany w związku?;Związkowe
zw049;Czy lubisz wspólnie podejmować decyzje – nawet w błahych sprawach?;Związkowe
zw050;Czy czujesz się odpowiedzialny za atmosferę w relacji?;Związkowe
zw051;Czy starasz się unikać niepotrzebnych spięć?;Związkowe
zw053;Czy masz potrzebę ciągłego kontaktu (np. wiadomości w ciągu dnia)?;Związkowe
zw054;Czy wyrażanie wdzięczności jest dla Ciebie ważnym elementem relacji?;Związkowe
zw056;Czy lubisz planować wspólny czas z wyprzedzeniem?;Związkowe
zw057;Czy emocje partnera wpływają silnie na Twój nastrój?;Związkowe
zw058;Czy potrafisz mówić o swoich granicach w związku?;Związkowe
zw059;Czy bywasz niepewny swoich uczuć w dłuższej relacji?;Związkowe
zw061;Czy w związku czujesz się swobodnie mówiąc o swoich marzeniach?;Związkowe
zw062;Czy wspólne poczucie humoru jest dla Ciebie kluczowe?;Związkowe
zw067;Czy wolisz rozwiązywać konflikty od razu niż odkładać je na później?;Związkowe
zw068;Czy potrafisz dostrzegać różnice między Wami jako coś wartościowego?;Związkowe
zw069;Czy Twoim zdaniem szczerość powinna być absolutna – nawet jeśli rani?;Związkowe
zw070;Czy lubisz wspólne planowanie codziennych obowiązków?;Związkowe
zw071;Czy potrafisz oddzielić własne emocje od emocji partnera?;Związkowe
zw073;Czy czujesz się komfortowo rozmawiając o przeszłości partnera?;Związkowe
zw075;Czy w związku ważniejsze są dla Ciebie emocje niż logika?;Związkowe
zw077;Czy czujesz się doceniony za codzienne drobiazgi?;Związkowe
zw079;Czy czujesz się wystarczająco słuchany w rozmowach?;Związkowe
zw080;Czy miewasz trudność z proszeniem o pomoc w związku?;Związkowe
zw081;Czy lubisz wracać do wspomnień z początku relacji?;Związkowe
zw082;Czy potrafisz dzielić się swoimi obawami bez poczucia słabości?;Związkowe
zw086;Czy wolisz rozmawiać o emocjach czy działać praktycznie?;Związkowe
pk001;Czy często fantazjujesz o osobach, które znasz?;Pikantne
pk002;Czy jesteś otwarty na próbowanie nowych rzeczy w łóżku?;Pikantne
pk003;Czy czujesz się pewnie nago przy drugiej osobie?;Pikantne
pk004;Czy ważna jest dla Ciebie chemia fizyczna w związku?;Pikantne
pk005;Czy mówisz partnerowi o swoich fantazjach?;Pikantne
pk006;Czy jesteś bardziej dominujący niż uległy?;Pikantne
pk007;Czy potrafisz flirtować bez użycia słów?;Pikantne
pk008;Czy lubisz budować napięcie zanim dojdzie do zbliżenia?;Pikantne
pk009;Czy lubisz być zaskakiwany w sypialni?;Pikantne
pk010;Czy inicjujesz zbliżenia częściej niż Twój partner?;Pikantne
pk011;Czy lubisz rozmowy o seksie?;Pikantne
pk012;Czy zdarza Ci się fantazjować w najmniej odpowiednim momencie?;Pikantne
pk013;Czy lubisz grać rolę w zbliżeniach?;Pikantne
pk014;Czy przywiązanie emocjonalne zwiększa Twoje pożądanie?;Pikantne
pk015;Czy lubisz zaskakiwać partnera czymś pikantnym?;Pikantne
pk016;Czy jesteś osobą bardziej zmysłową niż impulsywną?;Pikantne
pk017;Czy ważna jest dla Ciebie estetyka w zbliżeniach?;Pikantne
pk018;Czy zdarza Ci się odgrywać fantazję, o której marzyłeś?;Pikantne
pk019;Czy uważasz, że rozmowa po wszystkim jest równie ważna jak samo zbliżenie?;Pikantne
pk020;Czy lubisz, gdy partner przejmuje inicjatywę?;Pikantne
pk021;Czy czujesz się swobodnie mówiąc „nie” nawet w intymnej sytuacji?;Pikantne
pk022;Czy Twoja wyobraźnia erotyczna bywa zaskakująca nawet dla Ciebie?;Pikantne
pk023;Czy lubisz eksperymentować z miejscem i czasem zbliżenia?;Pikantne
pk024;Czy potrafisz szczerze powiedzieć partnerowi, co Ci się podoba?;Pikantne
pk025;Czy jesteś otwarty na wspólne odkrywanie nowych fantazji?;Pikantne
pk026;Czy potrafisz rozbudzić atmosferę jednym spojrzeniem?;Pikantne
pk027;Czy lubisz pikantne żarty i aluzje w rozmowie?;Pikantne
pk028;Czy bliskość fizyczna buduje dla Ciebie emocjonalną więź?;Pikantne
pk029;Czy lubisz zmieniać dynamikę — raz być aktywnym, raz pasywnym?;Pikantne
pk030;Czy Twoje życie intymne to dla Ciebie temat do śmiechu i luzu?;Pikantne
pk031;Czy czujesz się komfortowo przejmując pełną kontrolę w sypialni?;Pikantne
pk033;Czy potrafisz otwarcie mówić o swoich granicach w intymności?;Pikantne
pk034;Czy zdarzyło Ci się fantazjować o kimś zupełnie nieoczekiwanym?;Pikantne
pk035;Czy namiętność jest dla Ciebie ważniejsza niż technika?;Pikantne
pk036;Czy lubisz grę wstępną dłuższą niż samo zbliżenie?;Pikantne
pk037;Czy potrafisz zbudować napięcie jednym gestem?;Pikantne
pk038;Czy jesteś otwarty na niestandardowe formy intymności?;Pikantne
pk039;Czy lubisz przełamywać rutynę w sypialni?;Pikantne
pk041;Czy Twoje fantazje bywają bardziej emocjonalne niż fizyczne?;Pikantne
pk042;Czy wolisz prowadzić czy być prowadzonym w sytuacjach intymnych?;Pikantne
pk043;Czy Twoje poczucie humoru łączy się z seksualnością?;Pikantne
pk047;Czy lubisz zmysłowe niespodzianki?;Pikantne
pk048;Czy Twoje podejście do seksu zmienia się w zależności od emocji?;Pikantne
pk049;Czy jesteś otwarty na dzielenie się swoimi fantazjami w trakcie zbliżenia?;Pikantne
pk050;Czy potrafisz się całkowicie zatracić w chwili?;Pikantne
pk051;Czy bardziej pociąga Cię delikatność niż intensywność?;Pikantne
pk052;Czy często to Ty zaczynasz flirt?;Pikantne
pk055;Czy jesteś otwarty na zmysłowe gry i zabawy?;Pikantne
pk058;Czy czujesz się pewnie inicjując rozmowy o seksie?;Pikantne
pk059;Czy Twoja wyobraźnia erotyczna zmienia się z czasem?;Pikantne
pk062;Czy kiedykolwiek czułeś pociąg do kogoś zupełnie „niedozwolonego”?;Pikantne
pk066;Czy gra w wyobraźni jest dla Ciebie równie ważna jak realna bliskość?;Pikantne
pk067;Czy lubisz przesyłać pikantne wiadomości?;Pikantne
pk068;Czy cisza w zbliżeniu może być dla Ciebie bardziej zmysłowa niż słowa?;Pikantne
pk069;Czy przywiązanie emocjonalne wpływa na Twoją odwagę w łóżku?;Pikantne
pk072;Czy potrafisz wyczytać intencje z ciała drugiej osoby?;Pikantne
pk073;Czy bycie zaskoczonym w sypialni sprawia Ci większą przyjemność niż planowanie?;Pikantne
pk074;Czy Twoje fantazje są bardziej filmowe czy realistyczne?;Pikantne
pk075;Czy potrafisz całkowicie się poddać drugiej osobie?;Pikantne
pk076;Czy Twoje pragnienia są czasem trudne do wypowiedzenia?;Pikantne
pk077;Czy flirtowanie w miejscu publicznym sprawia Ci dreszczyk emocji?;Pikantne
pk079;Czy gra w dominację i uległość Cię intryguje?;Pikantne
pk080;Czy czasem masz ochotę złamać wszystkie reguły?;Pikantne
pk081;Czy więcej przyjemności czerpiesz z dawania niż z otrzymywania?;Pikantne
pk083;Czy dotyk ma dla Ciebie większe znaczenie niż słowa w intymności?;Pikantne
pk084;Czy Twoja zmysłowość jest bardziej subtelna niż odważna?;Pikantne
pk085;Czy zdarza Ci się fantazjować o byciu całkowicie zdominowanym?;Pikantne
pk086;Czy lubisz budować napięcie przez spojrzenia i niedopowiedzenia?;Pikantne
pk089;Czy sytuacje „zakazane” bywają dla Ciebie bardziej ekscytujące?;Pikantne
lz001;Czy zdarza Ci się zasnąć podczas oglądania filmu, który sam wybrałeś?;Luźne
lz002;Czy myślisz, że poradziłbyś sobie w średniowieczu?;Luźne
lz003;Czy zdarza Ci się rozmawiać z psem lub kotem jak z człowiekiem?;Luźne
lz004;Czy byłbyś dobrym detektywem?;Luźne
lz005;Czy potrafisz wyjść z domu bez sprawdzenia trzy razy, czy masz klucze?;Luźne
lz006;Czy byłbyś w stanie przeżyć tydzień bez internetu?;Luźne
lz007;Czy potrafisz zrobić obiad z tego, co akurat masz w lodówce?;Luźne
lz008;Czy miałeś kiedyś fazę na kolekcjonowanie czegoś dziwnego?;Luźne
lz009;Czy zdarza Ci się zapomnieć, po co wszedłeś do pokoju?;Luźne
lz010;Czy byłbyś dobrym kosmitą udającym człowieka?;Luźne
lz011;Czy lubisz planować rzeczy, których i tak nigdy nie zrealizujesz?;Luźne
lz012;Czy uważasz, że masz talent aktorski?;Luźne
lz013;Czy często śpiewasz w samochodzie lub pod prysznicem?;Luźne
lz014;Czy kiedykolwiek udawałeś, że kogoś nie widzisz, żeby nie rozmawiać?;Luźne
lz015;Czy masz na sumieniu coś dziwnego z dzieciństwa?;Luźne
