id;text;category;left;right
pre036;Jak bardzo lubiłeś czytać książki jako dziecko?;Przeszłość;NIE LUBIŁEM;LUBIŁEM
wol039;Wolisz gotować sam czy jeść na mieście?;Wolisz;GOTOWAĆ SAM;JEŚĆ NA MIEŚCIE
wol006;Wolisz jeść śniadanie w pośpiechu czy na spokojnie?;Wolisz;W POŚPIECHU;NA SPOKOJNIE
pik022;Czy czujesz się swobodnie mówiąc „nie” nawet w intymnej sytuacji?;Pikantne;NIE;TAK
wol030;Wolisz być mistrzem jednej rzeczy czy być lekko ponad przeciętnym, ale w wielu rzeczach?;Wolisz;MISTRZ JEDNEJ RZECZY;DOBRY WE WSZYSTKIM
pre044;Na wakacje jeździłeś częściej nad morze czy w góry?;Przeszłość;NAD MORZE;W GÓRY
pre004;Jak często się śmiałeś z kolegów lub koleżanek w szkole?;Przeszłość;NIGDY;CIĄGLE
wol035;Wolisz wstawać wcześnie czy spać do późna?;Wolisz;WCZEŚNIE;PÓŹNO
pik041;Czy lubisz, gdy partner przejmuje inicjatywę?;Pikantne;NIE;TAK
pik029;Czy jesteś otwarty na wspólne odkrywanie nowych fantazji?;Pikantne;NIE;TAK
pre051;Jak dobrze pamiętasz swoje dziecięce sukcesy?;Przeszłość;NIC NIE PAMIĘTAM;PAMIĘTAM WSZYSTKO
luz031;Czy potrafisz wyjść z domu i sprawdzać trzy razy, czy masz klucze?;Luźne;RAZ WYSTARCZY;NAWET 4 RAZY
pik009;Czy przywiązanie emocjonalne wpływa na Twoją odwagę w łóżku?;Pikantne;NIE;TAK
pik011;Czy mówisz partnerowi o swoich fantazjach?;Pikantne;NIE;TAK
dyl008;Wolisz mieć dom na drzewie w lesie czy na plaży?;Dylematy;W LESIE;NA PLAŻY
wol017;Wolisz spotkania w dużym gronie czy kameralne przyjęcia?;Wolisz;DUŻE GRONO;KAMERALNIE
wol042;Wolisz słuchać muzyki pop czy rock?;Wolisz;POP;ROCK
zwi012;Czy czujesz się odpowiedzialny za atmosferę w relacji?;Związkowe;NIE;TAK
dyl050;Wolałbyś być mistrzem gier komputerowych czy sportów drużynowych?;Dylematy;GRY KOMPUTEROWE;SPORTY ZESPOŁOWE
pik014;Czy kiedykolwiek czułeś pociąg do kogoś zupełnie „niedozwolonego”?;Pikantne;NIE;TAK
wol059;Wolisz robić zdjęcia czy oglądać zdjęcia?;Wolisz;ROBIĆ;OGLĄDAĆ
swi009;Czy zgadzasz się z tym, że rozwój gospodarczy jest ważniejszy niż ochrona środowiska?;Światopoglądowe;NIE;TAK
fun059;Czy zdarza Ci się mówić do zwierząt, jak do ludzi?;Śmieszne;NIE;TAK
luz009;Jak często zdarza Ci się zapomnieć, po co wszedłeś do pokoju?;Luźne;RZADKO;CZĘSTO
luz046;Jak często gubisz się w myślach podczas najprostszych zadań?;Luźne;RZADKO;CZĘSTO
fun043;Jak często zdarza Ci się myśleć o jedzeniu już 5 minut po zjedzeniu obiadu?;Śmieszne;NIGDY;ZA KAŻDYM RAZEM
fun024;Zdarza się, że Twoje ręce nie wiedzą, co robią – np. wylewając sok na klawiaturę?;Śmieszne;NIE;CZĘSTO
pre058;Jak dobrze pamiętasz swoją pierwszą miłość z dzieciństwa?;Przeszłość;W OGÓLE;DOSKONALE
pik005;Jak często zmieniasz dynamikę w łóżku — raz jesteś aktywny, a raz pasywny?;Pikantne;NIGDY NIE ZMIENIAM;ZA KAŻDYM RAZEM
zwi029;Wierzysz w miłość od pierwszego wejrzenia?;Związkowe;NIE;TAK
luz020;Jak często próbujesz użyć siły Jedi żeby coś np. przyciągnąć do siebie?;Luźne;NIGDY;CIĄGLE
fun050;Jak często zdarza Ci się zacząć coś robić i zapomnieć, po co to robiłeś?;Śmieszne;NIGDY;CIĄGLE
fun004;Jak często zdarza ci się zapomnieć, że masz okulary na nosie i wszędzie ich szukać?;Śmieszne;NIGDY;CO CHWILĘ
luz021;Jak traktujesz quizy typu „Którą pizzą jesteś?”?;Luźne;GŁUPOTA;BARDZO POWAŻNIE
fun052;Jak często zdarza Ci się przypadkowo włączyć mikrofon w złych momentach?;Śmieszne;NIGDY;CZĘSTO
fun064;Zdarza Ci się zapomnieć, co robiłeś dosłownie kilka sekund temu?;Śmieszne;RZADKO;CZĘSTO
luz013;Jak oceniasz swój talent aktorski?;Luźne;FATALNY;ZASŁUGUJE NA OSCARA
fun019;Zdarza Ci się kliknąć „wyślij”, zanim skończysz pisać wiadomość?;Śmieszne;NIE;CZĘSTO
pre053;Jak bardzo lubiłeś chodzić na szkolne imprezy/dyskoteki?;Przeszłość;W OGÓLE;KOCHAŁEM
fun056;Czy zdarza Ci się przypadkiem zadzwonić do kogoś, klikając coś w kieszeni?;Śmieszne;NIE;CZĘSTO
pre009;Jak dobrze pamiętasz swoją pierwszą wycieczkę szkolną?;Przeszłość;SŁABO;PERFEKCYJNIE
fun006;Jak często zdarza Ci się zapomnieć, że już umyłeś zęby i zrobić to jeszcze raz?;Śmieszne;NIGDY;CODZIENNIE
zwi002;Co jest dla ciebie ważniejsze w związku - czułość czy rozmowa?;Związkowe;CZUŁOŚĆ;ROZMOWA
swi051;Jak ważne są dla Ciebie tradycje?;Światopoglądowe;NIE SĄ WAŻNE;BARDZO WAŻNE
wol011;Wolisz oglądać seriale czy filmy?;Wolisz;SERIALE;FILMY
pik034;Czy potrafisz całkowicie poddać się drugiej osobie?;Pikantne;NIE;TAK
luz037;Czy często „gubisz” rzeczy, które trzymasz w ręce?;Luźne;RZADKO;CZĘSTO
pik052;Czy ważna jest dla Ciebie estetyka w zbliżeniach?;Pikantne;NIE;TAK
luz041;Czy zdarza Ci się rozmawiać z roślinami w mieszkaniu?;Luźne;NIE;TAK
pik001;Czy Twoje życie intymne to dla Ciebie luźny temat?;Pikantne;NIE;TAK
fun055;Czy zdarza Ci się kichnąć tak mocno, że wystraszysz nawet siebie?;Śmieszne;NIE;CZĘSTO
luz008;Czy masz nawyk tworzenia playlist na każdą możliwą okazję?;Luźne;NIE;TAK
fun026;Czy zdarza Ci się śmiać z czegoś, czego nikt inny nie rozumie?;Śmieszne;NIE;TAK
pre006;Jak często zdarzało Ci się śpiewać lub tańczyć jako dziecko?;Przeszłość;RZADKO;CZĘSTO
swi028;Czy uważasz, że sztuka ma realny wpływ na zmianę społeczną?;Światopoglądowe;NIE;TAK
luz054;Czy jesteś w stanie wstać rano bez włączania 5 drzemek?;Luźne;NIE;TAK
wol062;Wolisz prowadzić samochód czy podróżować pociągiem?;Wolisz;PROWADZIĆ SAMOCHÓD;JECHAĆ POCIĄGIEM
dyl027;Wolisz być bohaterem książki czy filmu?;Dylematy;KSIĄŻKI;FILMU
wol066;Wolisz poranki czy wieczory?;Wolisz;PORANKI;WIECZORY
zwi024;Kto w twojej relacji zwykle „wygrywa” kłótnie?;Związkowe;JA;PARNER/PARTNERKA
pre059;Czy musiałeś ukrywać słodycze przed rodzicami?;Przeszłość;NIE;TAK
zwi042;Czy potrafisz rozmawiać o trudnych tematach w relacji?;Związkowe;NIE;TAK
swi017;Czy uważasz, że wolność jednostki powinna mieć swoje granice?;Światopoglądowe;NIE;TAK
luz039;Czy lubisz sprawdzać lodówkę bez zamiaru wyjmowania czegokolwiek?;Luźne;NIE;TAK
dyl034;Wolisz nigdy nie mieć kaca czy nigdy nie odczuwać zmęczenia?;Dylematy;BRAK KACA;BRAK ZMĘCZENIA
dyl052;Wolałbyś mieć zdolność rozmawiania z roślinami czy z przedmiotami?;Dylematy;Z ROŚLINAMI;Z PRZEDMIOTAMI
fun036;Jak często udajesz, że rozumiesz, o czym ktoś mówi?;Śmieszne;NIGDY;ZAWSZE
luz019;Jak robisz notatki, to później je czytasz czy o nich zapominasz?;Luźne;CZYTAM;ZAPOMINAM O NICH
pre050;Jak często jadłeś słodycze jako dziecko?;Przeszłość;BARDZO RZADKO;CZĘSTO
fun040;Czy zdarza Ci się wciskać 'drzemkę' tyle razy, że potem się wszędzie spóźniasz?;Śmieszne;NIE;TAK
fun066;Czy czasem mówisz coś głośno, a potem zastanawiasz się, czy ktoś to usłyszał?;Śmieszne;NIGDY;CZĘSTO
wol074;Wolisz świętować urodziny w domu czy na wyjeździe?;Wolisz;W DOMU;NA WYJEŹDZIE
pik026;Czy bycie zaskoczonym w sypialni sprawia Ci większą przyjemność niż planowanie?;Pikantne;NIE;TAK
dyl025;Wolisz zostać bohaterem filmu akcji czy komedii romantycznej?;Dylematy;FILM AKCJI;KOMEDIA ROMANTYCZNA
pre005;Jak często pomagałeś w domu rodzeństwu?;Przeszłość;RZADKO;CZĘSTO
pre011;Czy miałeś problemy z nauczycielami lub wychowawcą?;Przeszłość;NIE;TAK
swi065;Czy uważasz, że dzieci powinny mieć prawo decydować o swoim życiu?;Światopoglądowe;NIE;TAK
luz005;Czy zdarza Ci się zjeść coś z podłogi?;Luźne;NIE;TAK
pik038;Czy sytuacje „zakazane” bywają dla Ciebie bardziej ekscytujące?;Pikantne;NIE;TAK
luz051;Jak trudne byłoby dla ciebie przeżycie tygodnia bez internetu?;Luźne;BANALNE;NIEMOŻLIWE
dyl007;Wolisz móc rozmawiać tylko za pomocą rysunków czy tylko za pomocą muzyki?;Dylematy;RYSUNKI;MUZYKA
luz044;Jak dziwna była najdziwniejsza rzecz, którą kolekcjonowałeś?;Luźne;NORMALNA;BARDZO DZIWNA
wol060;Wolisz jeść na słodko czy na słono?;Wolisz;NA SŁODKO;NA SŁONO
swi078;Na ile uważasz, że system edukacji wymaga gruntownej reformy?;Światopoglądowe;W OGÓLE;BARDZO
dyl051;Wolałbyś przez cały dzień mówić szeptem czy krzyczeć?;Dylematy;MÓWIĆ SZEPTEM;KRZYCZEĆ
pre031;Często zdarzało Ci się być kapitanem drużyny lub grupy?;Przeszłość;NIE;TAK
luz022;Czy miałeś kiedyś wymyślonego przyjaciela?;Luźne;NIE;TAK
luz010;Czy zdarza Ci się tańczyć samemu w pokoju?;Luźne;NIE;CZĘSTO
luz047;Czy byłbyś w stanie zamieszkać w małym domku na wsi bez technologii?;Luźne;NIE;TAK
swi027;Czy wierzysz, że każdy ma wpływ na swoją przyszłość?;Światopoglądowe;NIE;TAK
wol032;Wolisz lato pełne słońca czy lekki deszcz?;Wolisz;PEŁNE SŁOŃCE;LEKKI DESZCZ
wol022;Wolisz spędzać wolny czas sam w ciszy czy z ludzi?;Wolisz;W CISZY;Z LUDŹMI
wol031;Wolisz spędzać czas w mieście czy na wsi?;Wolisz;MIASTO;WIEŚ
pik027;Czy potrafisz otwarcie mówić o swoich granicach w intymności?;Pikantne;NIE;TAK
wol065;Wolisz książkę czy film?;Wolisz;KSIĄŻKA;FILM
wol051;Wolisz zwierzęta domowe czy egzotyczne?;Wolisz;DOMOWE;EGZOTYCZNE
wol081;Wolałbyś mieć dużo energii rano czy wieczorem?;Wolisz;RANO;WIECZOREM
pik051;Co ma dla Ciebie większe znaczenie w intymności - dotyk czy słowa?;Pikantne;DOTYK;SŁOWA
wol033;Wolisz spacerować po lesie czy nad morzem?;Wolisz;PO LESIE;NAD MORZEM
wol077;Wolisz mieszkać blisko centrum miasta czy na jego obrzeżach?;Wolisz;CENTRUM;OBRZEŻA
luz002;Czy zdarza Ci się zasnąć podczas oglądania filmu, który sam wybrałeś?;Luźne;NIE;TAK
zwi050;Czy potrafisz spać spokojnie po kłótni z bliską osobą?;Związkowe;NIE;TAK
wol048;Wolisz słuchać muzyki na żywo na koncercie czy z nagrania?;Wolisz;NA ŻYWO;Z NAGRANIA
wol046;Wolisz oglądać filmy w domu czy w kinie?;Wolisz;W DOMU;W KINIE
swi050;Czy uważasz, że każdy zasługuje na szacunek – niezależnie od poglądów?;Światopoglądowe;NIE;TAK
pre063;Jak podobały Ci się Twoje pierwsze wakacje bez rodziców?;Przeszłość;BYŁY FATALNE;BYŁY SUPER
wol067;Wolisz wziąć prysznic czy kąpiel?;Wolisz;PRYSZNIC;KĄPIEL
zwi013;Czy zdarza Ci się mówić coś, czego później żałujesz?;Związkowe;NIE;TAK
wol036;Wolisz chodzić do kina na nowe premiery czy czekać na premierę w domu?;Wolisz;W KINIE;W DOMU
pre022;Jak oceniasz twoje relacje z nauczycielami?;Przeszłość;BARDZO SŁABE;BARDZO DOBRE
luz015;Co sądzisz o pracy jako tester łóżek?;Luźne;FATALNA PRACA;WYMARZONA PRACA
dyl044;Wolałbyś mieć super moc teleportacji, ale tylko w jedno miejsce, czy umieć latać, ale tylko na 1 metr?;Dylematy;TELEPORTACJA;LATANIE
pre023;Czy w dzieciństwie bałeś się ciemności?;Przeszłość;NIE BAŁEM SIĘ;BARDZO
fun031;Czy przekładasz czasem rzeczy z miejsca na miejsce bez powodu?;Śmieszne;NIGDY;CZĘSTO
fun035;Czy gdy ktoś coś tłumaczy zazwyczaj myślisz o czymś innym czy jesteś skupiony?;Śmieszne;MYŚLĘ O CZYMŚ INNYM;JESTEM SKUPIONY
fun041;Jak często zdarza Ci się rozlać napój w najbardziej nieodpowiednim momencie?;Śmieszne;RZADKO;CZĘSTO
fun046;Zdarza Ci się śpiewać nawet jeśli nie znasz tekstu piosenki?;Śmieszne;NIE;CZĘSTO
luz027;Jak często zdarza Ci się planować rzeczy, których i tak nigdy nie zrealizujesz?;Luźne;RZADKO;CZĘSTO
luz004;Czy potrafisz prowadzić logiczną rozmowę tuż po obudzeniu?;Luźne;NIE;TAK
